size,OMP-threads,time
5000,56,1.423730
5000,57,1.412313
5000,57,1.426241
5000,57,1.417065
5000,57,1.423011
5000,57,1.417727
5000,57,1.412752
5000,57,1.415550
5000,57,1.412041
5000,57,1.412495
5000,57,1.418708
5000,58,1.406206
5000,58,1.440645
5000,58,1.408095
5000,58,1.422632
5000,58,1.406582
5000,58,1.406103
5000,58,1.407475
5000,58,1.406951
5000,58,1.426195
5000,58,1.407096
5000,59,1.403217
5000,59,1.436148
5000,59,1.401945
5000,59,1.401390
5000,59,1.401606
5000,59,1.407116
5000,59,1.420327
5000,59,1.400548
5000,59,1.413554
5000,59,1.402557
5000,60,1.396477
5000,60,1.410420
5000,60,1.396675
5000,60,1.396392
5000,60,1.409556
5000,60,1.396473
5000,60,1.396782
5000,60,1.397492
5000,60,1.396026
5000,60,1.396516
5000,61,1.391408
5000,61,1.391689
5000,61,1.396211
5000,61,1.436951
5000,61,1.403394
5000,61,1.390826
5000,61,1.390931
5000,61,1.390945
5000,61,1.394363
5000,61,1.391709
5000,62,1.385898
5000,62,1.386800
5000,62,1.385954
5000,62,1.387092
5000,62,1.386207
5000,62,1.396595
5000,62,1.396231
5000,62,1.388835
5000,62,1.396638
5000,62,1.384623
5000,63,1.382505
5000,63,1.382189
5000,63,1.392892
5000,63,1.381585
5000,63,1.393344
5000,63,1.564875
5000,63,1.381337
5000,63,1.397759
5000,63,1.398093
5000,63,1.384887
5000,64,1.387123
5000,64,1.391419
5000,64,1.393484
5000,64,1.393272
5000,64,1.422979
5000,64,1.403329
5000,64,1.375106
5000,64,1.390429
5000,64,1.381976
5000,64,1.375823
